"","clothes","clothes_SA","clothes_rate","clothes_rate_SA"
"137",94.31,94.31,10.4591239166081,10.4591239166081
"138",95.728,95.728,1.50355211536422,1.50355211536422
"139",98.598,98.598,2.99807788734749,2.99807788734749
"140",91.022,91.022,-7.68372583622385,-7.68372583622385
"141",81.756,81.756,-10.1799564940344,-10.1799564940344
"142",91.21,91.21,11.5636772836244,11.5636772836244
"143",97.67,97.67,7.08255673719988,7.08255673719988
"144",136.51,136.51,39.7665608682297,39.7665608682297
"145",135.638,135.638,-0.638781041681918,-0.638781041681918
"146",84.479,84.479,-37.7173063595748,-37.7173063595748
"147",86.956,86.956,2.9320896317428,2.9320896317428
"148",88.577,88.577,1.8641611849671,1.8641611849671
"149",88.919,88.919,0.386104745024102,0.386104745024102
"150",99.913,99.913,12.3640616741079,12.3640616741079
"151",99.595,99.595,-0.318276900903784,-0.318276900903784
"152",94.197,94.197,-5.41995080074301,-5.41995080074301
"153",86.177,86.177,-8.51407157340467,-8.51407157340467
"154",94.58,94.58,9.75086159880245,9.75086159880245
"155",99.121,99.121,4.80122647494184,4.80122647494184
"156",141.851,141.851,43.1089274724831,43.1089274724831
"157",113.793,113.793,-19.7799099054642,-19.7799099054642
"158",120.052,120.052,5.50033833364091,5.50033833364091
"159",90.874,90.874,-24.304468063839,-24.304468063839
"160",86.163,86.163,-5.18410106301032,-5.18410106301032
"161",94.101,94.101,9.21277114306605,9.21277114306605
"162",99.792,99.792,6.04775719705423,6.04775719705423
"163",99.456,99.456,-0.336700336700335,-0.336700336700335
"164",96.758,96.758,-2.71275740025741,-2.71275740025741
"165",87.288,87.288,-9.78730440893776,-9.78730440893776
"166",92.583,92.583,6.06612592796261,6.06612592796261
"167",102.45,102.45,10.6574641132821,10.6574641132821
"168",137.939,137.939,34.6403123474866,34.6403123474866
"169",125.666,125.666,-8.89741117450467,-8.89741117450467
"170",103.286,103.286,-17.8091130456925,-17.8091130456925
"171",95.294,95.294,-7.73773793156866,-7.73773793156866
"172",93.225,93.225,-2.17117551996978,-2.17117551996978
"173",95.9,95.9,2.86940198444624,2.86940198444624
"174",105.818,105.818,10.3420229405631,10.3420229405631
"175",102.534,102.534,-3.10344175849099,-3.10344175849099
"176",105.37,105.37,2.76591179511186,2.76591179511186
"177",92.593,92.593,-12.1258422700959,-12.1258422700959
"178",98.785,98.785,6.68733057574546,6.68733057574546
"179",107.75,107.75,9.07526446322823,9.07526446322823
"180",144.002,144.002,33.6445475638051,33.6445475638051
