"","population","population_SA","population_growth","population_growth_SA"
"95",442703.083333333,442703.083333333,0.204449194192515,0.204449194192515
"96",442703.083333333,442703.083333333,0.204449194192515,0.204449194192515
"97",449930.166666667,449930.166666667,0.134942341549049,0.134942341549049
"98",449930.166666667,449930.166666667,0.134942341549049,0.134942341549049
"99",449930.166666667,449930.166666667,0.134942341549049,0.134942341549049
"100",449930.166666667,449930.166666667,0.134942341549049,0.134942341549049
"101",449930.166666667,449930.166666667,0.134942341549049,0.134942341549049
"102",449930.166666667,449930.166666667,0.134942341549049,0.134942341549049
"103",449930.166666667,449930.166666667,0.134942341549049,0.134942341549049
"104",449930.166666667,449930.166666667,0.134942341549049,0.134942341549049
"105",449930.166666667,449930.166666667,0.134942341549049,0.134942341549049
"106",449930.166666667,449930.166666667,0.134942341549049,0.134942341549049
"107",449930.166666667,449930.166666667,0.134942341549049,0.134942341549049
"108",449930.166666667,449930.166666667,0.134942341549049,0.134942341549049
"109",455810.333333333,455810.333333333,0.108203348166038,0.108203348166038
"110",455810.333333333,455810.333333333,0.108203348166038,0.108203348166038
"111",455810.333333333,455810.333333333,0.108203348166038,0.108203348166038
"112",455810.333333333,455810.333333333,0.108203348166038,0.108203348166038
"113",455810.333333333,455810.333333333,0.108203348166038,0.108203348166038
"114",455810.333333333,455810.333333333,0.108203348166038,0.108203348166038
"115",455810.333333333,455810.333333333,0.108203348166038,0.108203348166038
"116",455810.333333333,455810.333333333,0.108203348166038,0.108203348166038
"117",455810.333333333,455810.333333333,0.108203348166038,0.108203348166038
"118",455810.333333333,455810.333333333,0.108203348166038,0.108203348166038
"119",455810.333333333,455810.333333333,0.108203348166038,0.108203348166038
"120",455810.333333333,455810.333333333,0.108203348166038,0.108203348166038
"121",461250.166666667,461250.166666667,0.0988647447915127,0.0988647447915127
"122",461250.166666667,461250.166666667,0.0988647447915127,0.0988647447915127
"123",461250.166666667,461250.166666667,0.0988647447915127,0.0988647447915127
"124",461250.166666667,461250.166666667,0.0988647447915127,0.0988647447915127
"125",461250.166666667,461250.166666667,0.0988647447915127,0.0988647447915127
"126",461250.166666667,461250.166666667,0.0988647447915127,0.0988647447915127
"127",461250.166666667,461250.166666667,0.0988647447915127,0.0988647447915127
"128",461250.166666667,461250.166666667,0.0988647447915127,0.0988647447915127
"129",461250.166666667,461250.166666667,0.0988647447915127,0.0988647447915127
"130",461250.166666667,461250.166666667,0.0988647447915127,0.0988647447915127
"131",461250.166666667,461250.166666667,0.0988647447915127,0.0988647447915127
"132",461250.166666667,461250.166666667,0.0988647447915127,0.0988647447915127
"133",467273.583333333,467273.583333333,0.108119674948834,0.108119674948834
"134",467273.583333333,467273.583333333,0.108119674948834,0.108119674948834
"135",467273.583333333,467273.583333333,0.108119674948834,0.108119674948834
"136",467273.583333333,467273.583333333,0.108119674948834,0.108119674948834
"137",467273.583333333,467273.583333333,0.108119674948834,0.108119674948834
"138",467273.583333333,467273.583333333,0.108119674948834,0.108119674948834
"139",467273.583333333,467273.583333333,0.108119674948834,0.108119674948834
"140",467273.583333333,467273.583333333,0.108119674948834,0.108119674948834
"141",467273.583333333,467273.583333333,0.108119674948834,0.108119674948834
"142",467273.583333333,467273.583333333,0.108119674948834,0.108119674948834
"143",467273.583333333,467273.583333333,0.108119674948834,0.108119674948834
"144",467273.583333333,467273.583333333,0.108119674948834,0.108119674948834
"145",467687.75,467687.75,0.0073829558327058,0.0073829558327058
"146",467687.75,467687.75,0.0073829558327058,0.0073829558327058
"147",467687.75,467687.75,0.0073829558327058,0.0073829558327058
"148",467687.75,467687.75,0.0073829558327058,0.0073829558327058
"149",467687.75,467687.75,0.0073829558327058,0.0073829558327058
"150",467687.75,467687.75,0.0073829558327058,0.0073829558327058
"151",467687.75,467687.75,0.0073829558327058,0.0073829558327058
"152",467687.75,467687.75,0.0073829558327058,0.0073829558327058
"153",467687.75,467687.75,0.0073829558327058,0.0073829558327058
"154",467687.75,467687.75,0.0073829558327058,0.0073829558327058
"155",467687.75,467687.75,0.0073829558327058,0.0073829558327058
"156",467687.75,467687.75,0.0073829558327058,0.0073829558327058
"157",469889.666666667,469889.666666667,0.0391420248928398,0.0391420248928398
"158",469889.666666667,469889.666666667,0.0391420248928398,0.0391420248928398
"159",469889.666666667,469889.666666667,0.0391420248928398,0.0391420248928398
"160",469889.666666667,469889.666666667,0.0391420248928398,0.0391420248928398
"161",469889.666666667,469889.666666667,0.0391420248928398,0.0391420248928398
"162",469889.666666667,469889.666666667,0.0391420248928398,0.0391420248928398
"163",469889.666666667,469889.666666667,0.0391420248928398,0.0391420248928398
"164",469889.666666667,469889.666666667,0.0391420248928398,0.0391420248928398
"165",469889.666666667,469889.666666667,0.0391420248928398,0.0391420248928398
"166",469889.666666667,469889.666666667,0.0391420248928398,0.0391420248928398
"167",469889.666666667,469889.666666667,0.0391420248928398,0.0391420248928398
"168",469889.666666667,469889.666666667,0.0391420248928398,0.0391420248928398
"169",475297.416666667,475297.416666667,0.0953569422407744,0.0953569422407744
"170",475297.416666667,475297.416666667,0.0953569422407744,0.0953569422407744
"171",475297.416666667,475297.416666667,0.0953569422407744,0.0953569422407744
"172",475297.416666667,475297.416666667,0.0953569422407744,0.0953569422407744
"173",475297.416666667,475297.416666667,0.0953569422407744,0.0953569422407744
"174",475297.416666667,475297.416666667,0.0953569422407744,0.0953569422407744
"175",475297.416666667,475297.416666667,0.0953569422407744,0.0953569422407744
"176",475297.416666667,475297.416666667,0.0953569422407744,0.0953569422407744
"177",475297.416666667,475297.416666667,0.0953569422407744,0.0953569422407744
"178",475297.416666667,475297.416666667,0.0953569422407744,0.0953569422407744
"179",475297.416666667,475297.416666667,0.0953569422407744,0.0953569422407744
"180",475297.416666667,475297.416666667,0.0953569422407744,0.0953569422407744
