Date,Open,High,Low,Close,Adj Close,Volume
"Jun 08, 2018",3460.26,3474.09,3432.18,3436.37,3436.37,308571100
"Jun 07, 2018",3488.25,3489.41,3460.49,3473.08,3473.08,264834800
"Jun 06, 2018",3483.32,3492.34,3460.29,3467.81,3467.81,343459700
"Jun 05, 2018",3479.78,3487.13,3472.48,3483.16,3483.16,277847100
"Jun 04, 2018",3441.2,3467.48,3441.2,3467.48,3467.48,188253100
"Jun 01, 2018",3423.5,3433.2,3417.86,3427.51,3427.51,401264800
"May 31, 2018",3476.46,3478.05,3428.18,3428.18,3428.18,1095623800
"May 30, 2018",3453.48,3467.08,3437.12,3443.95,3443.95,498593500
"May 28, 2018",3517.37,3529.26,3513.77,3518.48,3518.48,213020100
"May 25, 2018",3522.99,3532.36,3511.88,3513.23,3513.23,241831300
"May 24, 2018",3508.87,3532.92,3497.98,3528.92,3528.92,252752000
"May 23, 2018",3540.92,3541.39,3493.93,3496.27,3496.27,298827400
"May 22, 2018",3542.8,3563.14,3537.03,3543.18,3543.18,155616300
"May 21, 2018",3545.21,3569.36,3544.1,3548.23,3548.23,204954800
"May 18, 2018",3528.41,3534.55,3517.73,3529.27,3529.27,225534500
"May 17, 2018",3545.9,3550.62,3530.38,3536.76,3536.76,229202500
"May 16, 2018",3532.97,3552.92,3521.94,3533.05,3533.05,328512000
"May 15, 2018",3557.05,3566.75,3540.23,3540.23,3540.23,321305800
"May 14, 2018",3569.11,3574.21,3550.78,3562.46,3562.46,198150100
"May 11, 2018",3559.07,3576.18,3541.17,3570.17,3570.17,297399200
"May 10, 2018",3547.31,3551.28,3536.54,3537.59,3537.59,217457400
"May 09, 2018",3558.93,3562.42,3526.9,3548.54,3548.54,199980000
"May 08, 2018",3536.85,3550.07,3522.37,3543.17,3543.17,193948100
"May 07, 2018",3553.47,3554.9,3527.7,3532.86,3532.86,144668100
"May 04, 2018",3574.54,3575.5,3533.18,3545.38,3545.38,170783100
"May 03, 2018",3585.3,3587.69,3556.42,3575.68,3575.68,160865700
"May 02, 2018",3624.2,3641.65,3607.25,3615.28,3615.28,269337100
"Apr 30, 2018",3604.1,3628.43,3595.63,3613.93,3613.93,248192400
"Apr 27, 2018",3586.08,3588.3,3569.27,3577.21,3577.21,181278000
"Apr 26, 2018",3582.61,3582.61,3557.49,3570.02,3570.02,232937800
"Apr 25, 2018",3562.37,3574.91,3555.23,3568.01,3568.01,216440800
"Apr 24, 2018",3581.73,3587.23,3561.14,3584.56,3584.56,228881400
"Apr 23, 2018",3566.63,3591.84,3563.19,3579.54,3579.54,190044700
"Apr 20, 2018",3578.85,3596.54,3560.21,3573.38,3573.38,220890400
"Apr 19, 2018",3573.06,3604.06,3569.11,3598.73,3598.73,224492100
"Apr 18, 2018",3521.69,3560.38,3521.19,3557.82,3557.82,243690300
"Apr 17, 2018",3505.31,3509.68,3490.76,3498.2,3498.2,204009500
"Apr 16, 2018",3509.26,3509.48,3482.29,3497.19,3497.19,158102300
"Apr 13, 2018",3486.67,3506.8,3482.99,3501.3,3501.3,205209600
"Apr 12, 2018",3485.61,3493.66,3462.71,3468.61,3468.61,213983500
"Apr 11, 2018",3478.03,3488.33,3472.32,3479.76,3479.76,211508700
"Apr 10, 2018",3438.75,3473.84,3434.54,3466.38,3466.38,225296300
"Apr 09, 2018",3432.28,3456.81,3413.9,3449.96,3449.96,189309100
"Apr 06, 2018",3392.76,3449.4,3384.26,3442.5,3442.5,297512300
"Apr 05, 2018",3389.19,3422.64,3383.21,3405.65,3405.65,212442300
"Apr 04, 2018",3420.85,3421.02,3338.96,3339.7,3339.7,284555200
"Apr 03, 2018",3405.31,3412.15,3387.38,3412.15,3412.15,245906200
"Apr 02, 2018",3439.04,3443.88,3424.03,3430.76,3430.76,165121000
