month,level_1,level_2,value
1979-04,Export Price Index - Overall Items,Food & Live Animals,78.11
1979-04,Export Price Index - Overall Items,Beverages & Tobacco,58.334
1979-04,Export Price Index - Overall Items,Crude Materials (Excl Fuels),65.132
1979-04,Export Price Index - Overall Items,"Mineral Fuels, Lubricants & Related Materials",29.545
1979-04,Export Price Index - Overall Items,Animal & Vegetable Oils Fats & Waxes,122.022
1979-04,Export Price Index - Overall Items,Chemicals & Chemical Products,70.418
1979-04,Export Price Index - Overall Items,Manufactured Goods,89.422
1979-04,Export Price Index - Overall Items,Machinery & Transport Equipment,304.389
1979-04,Export Price Index - Overall Items,Miscellaneous Manufactured Articles,110.794
1979-05,Export Price Index - Overall Items,Food & Live Animals,79.467
1979-05,Export Price Index - Overall Items,Beverages & Tobacco,58.638
1979-05,Export Price Index - Overall Items,Crude Materials (Excl Fuels),67.658
1979-05,Export Price Index - Overall Items,"Mineral Fuels, Lubricants & Related Materials",30.182
1979-05,Export Price Index - Overall Items,Animal & Vegetable Oils Fats & Waxes,124.175
1979-05,Export Price Index - Overall Items,Chemicals & Chemical Products,70.916
1979-05,Export Price Index - Overall Items,Manufactured Goods,89.757
1979-05,Export Price Index - Overall Items,Machinery & Transport Equipment,302.635
1979-05,Export Price Index - Overall Items,Miscellaneous Manufactured Articles,110.91
1979-06,Export Price Index - Overall Items,Food & Live Animals,82.826
1979-06,Export Price Index - Overall Items,Beverages & Tobacco,59.479
1979-06,Export Price Index - Overall Items,Crude Materials (Excl Fuels),69.736
1979-06,Export Price Index - Overall Items,"Mineral Fuels, Lubricants & Related Materials",32.91
1979-06,Export Price Index - Overall Items,Animal & Vegetable Oils Fats & Waxes,125.609
1979-06,Export Price Index - Overall Items,Chemicals & Chemical Products,72.741
1979-06,Export Price Index - Overall Items,Manufactured Goods,90.512
1979-06,Export Price Index - Overall Items,Machinery & Transport Equipment,295.865
1979-06,Export Price Index - Overall Items,Miscellaneous Manufactured Articles,110.444
1979-07,Export Price Index - Overall Items,Food & Live Animals,83.612
1979-07,Export Price Index - Overall Items,Beverages & Tobacco,59.479
1979-07,Export Price Index - Overall Items,Crude Materials (Excl Fuels),67.939
1979-07,Export Price Index - Overall Items,"Mineral Fuels, Lubricants & Related Materials",36.772
1979-07,Export Price Index - Overall Items,Animal & Vegetable Oils Fats & Waxes,126.247
1979-07,Export Price Index - Overall Items,Chemicals & Chemical Products,73.404
1979-07,Export Price Index - Overall Items,Manufactured Goods,91.771
1979-07,Export Price Index - Overall Items,Machinery & Transport Equipment,299.123
1979-07,Export Price Index - Overall Items,Miscellaneous Manufactured Articles,111.027
1979-08,Export Price Index - Overall Items,Food & Live Animals,84.255
1979-08,Export Price Index - Overall Items,Beverages & Tobacco,60.242
1979-08,Export Price Index - Overall Items,Crude Materials (Excl Fuels),66.592
1979-08,Export Price Index - Overall Items,"Mineral Fuels, Lubricants & Related Materials",36.592
1979-08,Export Price Index - Overall Items,Animal & Vegetable Oils Fats & Waxes,122.421
1979-08,Export Price Index - Overall Items,Chemicals & Chemical Products,74.399
1979-08,Export Price Index - Overall Items,Manufactured Goods,91.771
1979-08,Export Price Index - Overall Items,Machinery & Transport Equipment,298.873
1979-08,Export Price Index - Overall Items,Miscellaneous Manufactured Articles,111.493
1979-09,Export Price Index - Overall Items,Food & Live Animals,84.112
1979-09,Export Price Index - Overall Items,Beverages & Tobacco,60.929
1979-09,Export Price Index - Overall Items,Crude Materials (Excl Fuels),66.423
1979-09,Export Price Index - Overall Items,"Mineral Fuels, Lubricants & Related Materials",37.867
1979-09,Export Price Index - Overall Items,Animal & Vegetable Oils Fats & Waxes,121.544
1979-09,Export Price Index - Overall Items,Chemicals & Chemical Products,75.064
1979-09,Export Price Index - Overall Items,Manufactured Goods,92.441
1979-09,Export Price Index - Overall Items,Machinery & Transport Equipment,299.123
1979-09,Export Price Index - Overall Items,Miscellaneous Manufactured Articles,111.493
1979-10,Export Price Index - Overall Items,Food & Live Animals,83.54
1979-10,Export Price Index - Overall Items,Beverages & Tobacco,60.929
1979-10,Export Price Index - Overall Items,Crude Materials (Excl Fuels),66.479
1979-10,Export Price Index - Overall Items,"Mineral Fuels, Lubricants & Related Materials",39.32
1979-10,Export Price Index - Overall Items,Animal & Vegetable Oils Fats & Waxes,119.632
1979-10,Export Price Index - Overall Items,Chemicals & Chemical Products,75.809
1979-10,Export Price Index - Overall Items,Manufactured Goods,94.454
1979-10,Export Price Index - Overall Items,Machinery & Transport Equipment,297.871
1979-10,Export Price Index - Overall Items,Miscellaneous Manufactured Articles,111.26
1979-11,Export Price Index - Overall Items,Food & Live Animals,84.541
1979-11,Export Price Index - Overall Items,Beverages & Tobacco,60.929
1979-11,Export Price Index - Overall Items,Crude Materials (Excl Fuels),66.928
1979-11,Export Price Index - Overall Items,"Mineral Fuels, Lubricants & Related Materials",40.096
1979-11,Export Price Index - Overall Items,Animal & Vegetable Oils Fats & Waxes,118.994
1979-11,Export Price Index - Overall Items,Chemicals & Chemical Products,76.556
1979-11,Export Price Index - Overall Items,Manufactured Goods,94.874
1979-11,Export Price Index - Overall Items,Machinery & Transport Equipment,302.384
1979-11,Export Price Index - Overall Items,Miscellaneous Manufactured Articles,111.26
1979-12,Export Price Index - Overall Items,Food & Live Animals,84.255
1979-12,Export Price Index - Overall Items,Beverages & Tobacco,61.006
1979-12,Export Price Index - Overall Items,Crude Materials (Excl Fuels),67.715
1979-12,Export Price Index - Overall Items,"Mineral Fuels, Lubricants & Related Materials",43.401
1979-12,Export Price Index - Overall Items,Animal & Vegetable Oils Fats & Waxes,116.523
1979-12,Export Price Index - Overall Items,Chemicals & Chemical Products,77.551
1979-12,Export Price Index - Overall Items,Manufactured Goods,95.126
1979-12,Export Price Index - Overall Items,Machinery & Transport Equipment,302.635
1979-12,Export Price Index - Overall Items,Miscellaneous Manufactured Articles,111.842
1980-01,Export Price Index - Overall Items,Food & Live Animals,85.613
1980-01,Export Price Index - Overall Items,Beverages & Tobacco,65.128
1980-01,Export Price Index - Overall Items,Crude Materials (Excl Fuels),71.981
1980-01,Export Price Index - Overall Items,"Mineral Fuels, Lubricants & Related Materials",47.841
1980-01,Export Price Index - Overall Items,Animal & Vegetable Oils Fats & Waxes,124.732
1980-01,Export Price Index - Overall Items,Chemicals & Chemical Products,88.997
1980-01,Export Price Index - Overall Items,Manufactured Goods,98.816
1980-01,Export Price Index - Overall Items,Machinery & Transport Equipment,305.392
1980-01,Export Price Index - Overall Items,Miscellaneous Manufactured Articles,115.686
1980-02,Export Price Index - Overall Items,Food & Live Animals,85.541
1980-02,Export Price Index - Overall Items,Beverages & Tobacco,65.128
1980-02,Export Price Index - Overall Items,Crude Materials (Excl Fuels),75.743
1980-02,Export Price Index - Overall Items,"Mineral Fuels, Lubricants & Related Materials",49.772
1980-02,Export Price Index - Overall Items,Animal & Vegetable Oils Fats & Waxes,127.044
1980-02,Export Price Index - Overall Items,Chemicals & Chemical Products,89.577
1980-02,Export Price Index - Overall Items,Manufactured Goods,99.236
1980-02,Export Price Index - Overall Items,Machinery & Transport Equipment,305.643
1980-02,Export Price Index - Overall Items,Miscellaneous Manufactured Articles,116.385
1980-03,Export Price Index - Overall Items,Food & Live Animals,86.185
1980-03,Export Price Index - Overall Items,Beverages & Tobacco,65.128
1980-03,Export Price Index - Overall Items,Crude Materials (Excl Fuels),71.645
1980-03,Export Price Index - Overall Items,"Mineral Fuels, Lubricants & Related Materials",52.101
1980-03,Export Price Index - Overall Items,Animal & Vegetable Oils Fats & Waxes,125.928
1980-03,Export Price Index - Overall Items,Chemicals & Chemical Products,91.651
1980-03,Export Price Index - Overall Items,Manufactured Goods,99.991
1980-03,Export Price Index - Overall Items,Machinery & Transport Equipment,307.65
1980-03,Export Price Index - Overall Items,Miscellaneous Manufactured Articles,116.619
1980-04,Export Price Index - Overall Items,Food & Live Animals,85.327
1980-04,Export Price Index - Overall Items,Beverages & Tobacco,65.663
1980-04,Export Price Index - Overall Items,Crude Materials (Excl Fuels),71.083
1980-04,Export Price Index - Overall Items,"Mineral Fuels, Lubricants & Related Materials",51.325
1980-04,Export Price Index - Overall Items,Animal & Vegetable Oils Fats & Waxes,122.899
1980-04,Export Price Index - Overall Items,Chemicals & Chemical Products,91.9
1980-04,Export Price Index - Overall Items,Manufactured Goods,100.746
1980-04,Export Price Index - Overall Items,Machinery & Transport Equipment,310.156
1980-04,Export Price Index - Overall Items,Miscellaneous Manufactured Articles,116.968
1980-05,Export Price Index - Overall Items,Food & Live Animals,84.684
1980-05,Export Price Index - Overall Items,Beverages & Tobacco,66.045
1980-05,Export Price Index - Overall Items,Crude Materials (Excl Fuels),66.872
1980-05,Export Price Index - Overall Items,"Mineral Fuels, Lubricants & Related Materials",51.644
1980-05,Export Price Index - Overall Items,Animal & Vegetable Oils Fats & Waxes,115.407
1980-05,Export Price Index - Overall Items,Chemicals & Chemical Products,92.066
1980-05,Export Price Index - Overall Items,Manufactured Goods,100.243
1980-05,Export Price Index - Overall Items,Machinery & Transport Equipment,314.419
1980-05,Export Price Index - Overall Items,Miscellaneous Manufactured Articles,117.318
1980-06,Export Price Index - Overall Items,Food & Live Animals,82.684
1980-06,Export Price Index - Overall Items,Beverages & Tobacco,67.495
1980-06,Export Price Index - Overall Items,Crude Materials (Excl Fuels),66.03
1980-06,Export Price Index - Overall Items,"Mineral Fuels, Lubricants & Related Materials",51.584
1980-06,Export Price Index - Overall Items,Animal & Vegetable Oils Fats & Waxes,111.98
1980-06,Export Price Index - Overall Items,Chemicals & Chemical Products,91.982
1980-06,Export Price Index - Overall Items,Manufactured Goods,99.236
1980-06,Export Price Index - Overall Items,Machinery & Transport Equipment,314.419
1980-06,Export Price Index - Overall Items,Miscellaneous Manufactured Articles,117.667
1980-07,Export Price Index - Overall Items,Food & Live Animals,81.183
1980-07,Export Price Index - Overall Items,Beverages & Tobacco,67.648
1980-07,Export Price Index - Overall Items,Crude Materials (Excl Fuels),64.964
1980-07,Export Price Index - Overall Items,"Mineral Fuels, Lubricants & Related Materials",53.376
1980-07,Export Price Index - Overall Items,Animal & Vegetable Oils Fats & Waxes,110.307
1980-07,Export Price Index - Overall Items,Chemicals & Chemical Products,91.982
1980-07,Export Price Index - Overall Items,Manufactured Goods,99.404
1980-07,Export Price Index - Overall Items,Machinery & Transport Equipment,315.422
1980-07,Export Price Index - Overall Items,Miscellaneous Manufactured Articles,119.298
1980-08,Export Price Index - Overall Items,Food & Live Animals,81.469
1980-08,Export Price Index - Overall Items,Beverages & Tobacco,68.106
1980-08,Export Price Index - Overall Items,Crude Materials (Excl Fuels),65.581
1980-08,Export Price Index - Overall Items,"Mineral Fuels, Lubricants & Related Materials",53.475
1980-08,Export Price Index - Overall Items,Animal & Vegetable Oils Fats & Waxes,107.676
1980-08,Export Price Index - Overall Items,Chemicals & Chemical Products,91.9
1980-08,Export Price Index - Overall Items,Manufactured Goods,99.571
1980-08,Export Price Index - Overall Items,Machinery & Transport Equipment,314.419
1980-08,Export Price Index - Overall Items,Miscellaneous Manufactured Articles,119.764
1980-09,Export Price Index - Overall Items,Food & Live Animals,82.54
1980-09,Export Price Index - Overall Items,Beverages & Tobacco,68.182
1980-09,Export Price Index - Overall Items,Crude Materials (Excl Fuels),66.254
1980-09,Export Price Index - Overall Items,"Mineral Fuels, Lubricants & Related Materials",53.256
