month,level_1,value
1998-09,Total Excluding Biomedical Manufacturing,62.344
1998-10,Total,40.131
1998-10,Total Excluding Biomedical Manufacturing,59.079
1998-11,Total,40.21
1998-11,Total Excluding Biomedical Manufacturing,58.188
1998-12,Total,46.088
1998-12,Total Excluding Biomedical Manufacturing,60.761
1999-01,Total,39.897
1999-01,Total Excluding Biomedical Manufacturing,58.682
1999-02,Total,38.799
1999-02,Total Excluding Biomedical Manufacturing,52.646
1999-03,Total,50.635
1999-03,Total Excluding Biomedical Manufacturing,68.975
1999-04,Total,41.935
1999-04,Total Excluding Biomedical Manufacturing,61.255
1999-05,Total,44.129
1999-05,Total Excluding Biomedical Manufacturing,63.73
1999-06,Total,49.93
1999-06,Total Excluding Biomedical Manufacturing,67.589
1999-07,Total,46.794
1999-07,Total Excluding Biomedical Manufacturing,64.027
1999-08,Total,47.029
1999-08,Total Excluding Biomedical Manufacturing,63.73
1999-09,Total,52.359
1999-09,Total Excluding Biomedical Manufacturing,68.084
1999-10,Total,49.851
1999-10,Total Excluding Biomedical Manufacturing,70.954
1999-11,Total,48.126
1999-11,Total Excluding Biomedical Manufacturing,68.282
1999-12,Total,49.459
1999-12,Total Excluding Biomedical Manufacturing,71.448
2000-01,Total,51.262
2000-01,Total Excluding Biomedical Manufacturing,66.203
2000-02,Total,42.562
2000-02,Total Excluding Biomedical Manufacturing,60.662
2000-03,Total,52.516
2000-03,Total Excluding Biomedical Manufacturing,74.912
2000-04,Total,45.932
2000-04,Total Excluding Biomedical Manufacturing,67.193
2000-05,Total,52.986
2000-05,Total Excluding Biomedical Manufacturing,73.824
2000-06,Total,55.651
2000-06,Total Excluding Biomedical Manufacturing,78.87
2000-07,Total,51.968
2000-07,Total Excluding Biomedical Manufacturing,74.616
2000-08,Total,56.592
2000-08,Total Excluding Biomedical Manufacturing,80.751
2000-09,Total,59.962
2000-09,Total Excluding Biomedical Manufacturing,86.886
2000-10,Total,59.257
2000-10,Total Excluding Biomedical Manufacturing,84.907
2000-11,Total,56.592
2000-11,Total Excluding Biomedical Manufacturing,82.136
2000-12,Total,59.413
2000-12,Total Excluding Biomedical Manufacturing,77.485
2001-01,Total,45.854
2001-01,Total Excluding Biomedical Manufacturing,67.886
2001-02,Total,48.362
2001-02,Total Excluding Biomedical Manufacturing,66.797
2001-03,Total,56.121
2001-03,Total Excluding Biomedical Manufacturing,73.131
2001-04,Total,46.402
2001-04,Total Excluding Biomedical Manufacturing,65.511
2001-05,Total,47.656
2001-05,Total Excluding Biomedical Manufacturing,66.006
2001-06,Total,46.638
2001-06,Total Excluding Biomedical Manufacturing,64.917
2001-07,Total,44.834
2001-07,Total Excluding Biomedical Manufacturing,60.167
2001-08,Total,44.6
2001-08,Total Excluding Biomedical Manufacturing,61.157
2001-09,Total,46.638
2001-09,Total Excluding Biomedical Manufacturing,63.927
2001-10,Total,47.029
2001-10,Total Excluding Biomedical Manufacturing,64.62
2001-11,Total,49.224
2001-11,Total Excluding Biomedical Manufacturing,64.917
2001-12,Total,46.402
2001-12,Total Excluding Biomedical Manufacturing,64.126
2002-01,Total,47.108
2002-01,Total Excluding Biomedical Manufacturing,64.423
2002-02,Total,42.562
2002-02,Total Excluding Biomedical Manufacturing,55.714
2002-03,Total,53.849
2002-03,Total Excluding Biomedical Manufacturing,70.954
2002-04,Total,50.243
2002-04,Total Excluding Biomedical Manufacturing,69.668
2002-05,Total,54.162
2002-05,Total Excluding Biomedical Manufacturing,68.282
2002-06,Total,55.26
2002-06,Total Excluding Biomedical Manufacturing,69.073
2002-07,Total,53.3
2002-07,Total Excluding Biomedical Manufacturing,68.479
2002-08,Total,52.045
2002-08,Total Excluding Biomedical Manufacturing,66.699
2002-09,Total,52.124
2002-09,Total Excluding Biomedical Manufacturing,70.954
2002-10,Total,52.829
2002-10,Total Excluding Biomedical Manufacturing,73.031
2002-11,Total,48.675
2002-11,Total Excluding Biomedical Manufacturing,68.084
2002-12,Total,55.573
2002-12,Total Excluding Biomedical Manufacturing,70.063
2003-01,Total,53.535
2003-01,Total Excluding Biomedical Manufacturing,66.995
2003-02,Total,41.699
2003-02,Total Excluding Biomedical Manufacturing,57.396
2003-03,Total,57.141
2003-03,Total Excluding Biomedical Manufacturing,70.558
2003-04,Total,48.283
2003-04,Total Excluding Biomedical Manufacturing,66.006
2003-05,Total,49.459
2003-05,Total Excluding Biomedical Manufacturing,65.214
2003-06,Total,51.889
2003-06,Total Excluding Biomedical Manufacturing,67.985
2003-07,Total,49.93
2003-07,Total Excluding Biomedical Manufacturing,66.699
