month,level_1,value
2011-04,Value Of Food & Beverage Sales  - Estimated,536
2011-05,Value Of Food & Beverage Sales  - Estimated,570
2011-06,Value Of Food & Beverage Sales  - Estimated,567
2011-07,Value Of Food & Beverage Sales  - Estimated,589
2011-08,Value Of Food & Beverage Sales  - Estimated,564
2011-09,Value Of Food & Beverage Sales  - Estimated,566
2011-10,Value Of Food & Beverage Sales  - Estimated,587
2011-11,Value Of Food & Beverage Sales  - Estimated,581
2011-12,Value Of Food & Beverage Sales  - Estimated,643
2012-01,Value Of Food & Beverage Sales  - Estimated,635
2012-02,Value Of Food & Beverage Sales  - Estimated,579
2012-03,Value Of Food & Beverage Sales  - Estimated,614
2012-04,Value Of Food & Beverage Sales  - Estimated,602
2012-05,Value Of Food & Beverage Sales  - Estimated,621
2012-06,Value Of Food & Beverage Sales  - Estimated,624
2012-07,Value Of Food & Beverage Sales  - Estimated,631
2012-08,Value Of Food & Beverage Sales  - Estimated,624
2012-09,Value Of Food & Beverage Sales  - Estimated,616
2012-10,Value Of Food & Beverage Sales  - Estimated,629
2012-11,Value Of Food & Beverage Sales  - Estimated,626
2012-12,Value Of Food & Beverage Sales  - Estimated,681
2013-01,Value Of Food & Beverage Sales  - Estimated,639
2013-02,Value Of Food & Beverage Sales  - Estimated,645
2013-03,Value Of Food & Beverage Sales  - Estimated,671
2013-04,Value Of Food & Beverage Sales  - Estimated,643
2013-05,Value Of Food & Beverage Sales  - Estimated,672
2013-06,Value Of Food & Beverage Sales  - Estimated,683
2013-07,Value Of Food & Beverage Sales  - Estimated,677
2013-08,Value Of Food & Beverage Sales  - Estimated,676
2013-09,Value Of Food & Beverage Sales  - Estimated,667
2013-10,Value Of Food & Beverage Sales  - Estimated,679
2013-11,Value Of Food & Beverage Sales  - Estimated,674
2013-12,Value Of Food & Beverage Sales  - Estimated,730
2014-01,Value Of Food & Beverage Sales  - Estimated,724
2014-02,Value Of Food & Beverage Sales  - Estimated,671
2014-03,Value Of Food & Beverage Sales  - Estimated,691
