"","RSI Current","RSI Chained","Tourism","Overall employment changes","Food & Accomodation employment changes","CPI","ULC","IPI","AICc","RMSE","pVal","RMSE_forecast"
"43",0,0,1,0,1,0,1,0,539.774213595621,2.0030134273542,0.133649062893407,2.75011036772608
"44",0,0,1,0,1,0,1,1,541.797236968189,2.01593275138027,0.0486593993546511,2.79253103641432
"45",0,0,1,0,1,1,0,0,525.487817579358,1.90464427456929,0.132399769629187,3.10202498337493
"46",0,0,1,0,1,1,0,1,527.423024562165,1.90330574206915,0.095985140366873,2.96991307122301
"47",0,0,1,0,1,1,1,0,527.346775554507,1.90074229618213,0.0983121960257812,3.18512445353642
"48",0,0,1,0,1,1,1,1,529.3384774398,1.89941187397555,0.0703661338092283,3.04344609626385
"49",0,0,1,1,0,0,0,0,536.92581790522,1.99880619126723,0.140538697735366,2.78216792190561
"50",0,0,1,1,0,0,0,1,539.14325568846,1.99866804153984,0.103349817001449,2.7881465302068
"51",0,0,1,1,0,0,1,0,539.084002864021,1.99752029478086,0.105953185422719,2.76686875991231
"52",0,0,1,1,0,0,1,1,541.353851568899,1.99744518368349,0.0766121130521,2.76921311523998
"53",0,0,1,1,0,1,0,0,524.934311029885,1.90156227586488,0.11488232237864,2.99176381896826
"54",0,0,1,1,0,1,0,1,526.933634790913,1.90039126415299,0.0810626954783696,2.89495573982888
"55",0,0,1,1,0,1,1,0,526.857552794051,1.8985954802361,0.0867158463415358,3.05084587271804
"56",0,0,1,1,0,1,1,1,528.923178039506,1.89748707302502,0.0604616102609608,2.94525645557509
"57",0,0,1,1,1,0,0,0,536.498511579233,1.98064259859152,0.16767193131887,2.90251348927168
"58",0,0,1,1,1,0,0,1,540.797497125822,1.99735131027046,0.0840392625156073,2.816324295244
"59",0,0,1,1,1,0,1,0,538.567033694569,1.97820172388997,0.129438574805997,2.83223723414251
"60",0,0,1,1,1,0,1,1,542.921938787434,1.99532930688959,0.0610082522421145,2.77522893025574
"61",0,0,1,1,1,1,0,0,526.626034740994,1.89787048708417,0.0620083979582139,2.95353597776297
"62",0,0,1,1,1,1,0,1,528.624552324625,1.89680768871904,0.0428077266377554,2.85319142102122
"63",0,0,1,1,1,1,1,0,528.400000121744,1.89346649940347,0.040876048560253,3.01742144779662
"64",0,0,1,1,1,1,1,1,530.467925921208,1.89246100591065,0.0280716840051081,2.90368689226029
"65",0,1,0,0,0,0,0,0,510.128661887615,1.83366012933741,0.319180907205223,5.79492257814678
"66",0,1,0,0,0,0,0,1,512.3368965704,1.83363208897283,0.256389949876897,5.73480395803262
"67",0,1,0,0,0,0,1,0,512.282716443746,1.8330829872177,0.257009135773867,5.7669580614299
"68",0,1,0,0,0,0,1,1,514.52176186546,1.83299806393006,0.197425600715473,5.68224168388662
"69",0,1,0,0,0,1,0,0,499.107260325115,1.72860635509847,0.0734631687833271,2.64615600992513
"70",0,1,0,0,0,1,0,1,501.285660398568,1.72800540511372,0.0515022026441976,2.65366851078864
"71",0,1,0,0,0,1,1,0,500.2984356136,1.71859585256179,0.0478094010866886,2.67218212123519
"72",0,1,0,0,0,1,1,1,502.546566410195,1.7184490136819,0.0338787207262953,2.68150859844319
"73",0,1,0,0,1,0,0,0,510.905064125048,1.81796628069705,0.298503453712614,5.9049920969615
"74",0,1,0,0,1,0,0,1,513.143765046905,1.81788414684376,0.237839671713849,5.82268580631527
"75",0,1,0,0,1,0,1,0,513.153516570703,1.81790409606136,0.240876176014949,5.89394315543415
"76",0,1,0,0,1,0,1,1,515.428677261966,1.81779842745907,0.185115576429967,5.79965973843796
"77",0,1,0,0,1,1,0,0,501.19675043786,1.72748406688899,0.0772724037295092,2.66446651337038
"78",0,1,0,0,1,1,0,1,503.380921041232,1.72655151029819,0.0549643763721748,2.67517281029974
"79",0,1,0,0,1,1,1,0,502.476118375106,1.71795287816207,0.0465259754390459,2.67944460730796
"80",0,1,0,0,1,1,1,1,504.747331241302,1.71764495771853,0.0333818367990538,2.69522582258085
"81",0,1,0,1,0,0,0,0,510.968865629604,1.82189395882537,0.254130426992061,6.38731023296107
"82",0,1,0,1,0,0,0,1,513.220074786023,1.82189556136683,0.200646323055248,6.3345399072521
