"","RSI Current","RSI Chained","Tourism","Overall employment changes","Food & Accomodation employment changes","CPI","ULC","IPI","AICc","CV"
"67",0,1,0,0,0,0,1,0,263.190122717615,9.08120192194879
"68",0,1,0,0,0,0,1,1,265.368443348718,9.32087196405182
"69",0,1,0,0,0,1,0,0,269.08191275452,9.46058787758822
"70",0,1,0,0,0,1,0,1,271.080274828179,9.69732439414619
"71",0,1,0,0,0,1,1,0,258.48801447341,8.68435496163016
"72",0,1,0,0,0,1,1,1,260.701830412431,8.91706434228387
"73",0,1,0,0,1,0,0,0,274.793622173524,10.2104612762179
"74",0,1,0,0,1,0,0,1,276.771446718138,10.4794498979201
"75",0,1,0,0,1,0,1,0,264.992073977541,9.38899935065603
"76",0,1,0,0,1,0,1,1,267.193603270341,9.6607146379882
"77",0,1,0,0,1,1,0,0,271.262008671029,9.82606987119483
"78",0,1,0,0,1,1,0,1,273.295259082786,10.0832334489125
"79",0,1,0,0,1,1,1,0,260.669415271915,8.99836319290893
"80",0,1,0,0,1,1,1,1,262.918172047686,9.25341601125722
"81",0,1,0,1,0,0,0,0,274.666136786075,10.1743622214167
"82",0,1,0,1,0,0,0,1,276.599326559254,10.4447833272867
"83",0,1,0,1,0,0,1,0,264.470289553812,9.34689417292104
"84",0,1,0,1,0,0,1,1,266.641551256528,9.62437606438328
"85",0,1,0,1,0,1,0,0,271.261897933244,9.79476503835238
"86",0,1,0,1,0,1,0,1,273.293961519187,10.0564209312582
"87",0,1,0,1,0,1,1,0,260.561758421993,8.98660809656004
"88",0,1,0,1,0,1,1,1,262.799788929706,9.24667276717572
"89",0,1,0,1,1,0,0,0,276.8449105275,10.3591281998369
"90",0,1,0,1,1,0,0,1,278.816070057833,10.6363208618994
"91",0,1,0,1,1,0,1,0,266.685588588641,9.49559383865358
"92",0,1,0,1,1,0,1,1,268.897473731888,9.77950075473898
"93",0,1,0,1,1,1,0,0,273.480841363746,9.97435367575788
"94",0,1,0,1,1,1,0,1,275.552602439654,10.2423812200716
"95",0,1,0,1,1,1,1,0,262.812334258536,9.13020965359955
"96",0,1,0,1,1,1,1,1,265.092100185278,9.39617978249436
"97",0,1,1,0,0,0,0,0,271.351382079461,9.65530055808867
"98",0,1,1,0,0,0,0,1,273.418599227824,9.86850905328019
"99",0,1,1,0,0,0,1,0,261.500156731255,8.88955095245491
"100",0,1,1,0,0,0,1,1,263.719013150981,9.09341936362748
"101",0,1,1,0,0,1,0,0,266.535715838142,9.21193488883908
"102",0,1,1,0,0,1,0,1,268.614957691653,9.41888420233206
