month,level_1,level_2,value
1991-09,Total,Fast Food Outlets,32.2
1991-09,Total,Food Caterers,na
1991-09,Total,Other Eating Places,62.6
1991-10,Total,Restaurants,55.1
1991-10,Total,Fast Food Outlets,32.1
1991-10,Total,Food Caterers,na
1991-10,Total,Other Eating Places,64.1
1991-11,Total,Restaurants,58.9
1991-11,Total,Fast Food Outlets,35
1991-11,Total,Food Caterers,na
1991-11,Total,Other Eating Places,65.4
1991-12,Total,Restaurants,62.4
1991-12,Total,Fast Food Outlets,39.4
1991-12,Total,Food Caterers,na
1991-12,Total,Other Eating Places,70.3
1992-01,Total,Restaurants,55.5
1992-01,Total,Fast Food Outlets,32.2
1992-01,Total,Food Caterers,na
1992-01,Total,Other Eating Places,65.4
1992-02,Total,Restaurants,57.7
1992-02,Total,Fast Food Outlets,36.9
1992-02,Total,Food Caterers,na
1992-02,Total,Other Eating Places,59.1
1992-03,Total,Restaurants,52.8
1992-03,Total,Fast Food Outlets,35.5
1992-03,Total,Food Caterers,na
1992-03,Total,Other Eating Places,65.1
1992-04,Total,Restaurants,53.6
1992-04,Total,Fast Food Outlets,35
1992-04,Total,Food Caterers,na
1992-04,Total,Other Eating Places,64.3
1992-05,Total,Restaurants,57.1
1992-05,Total,Fast Food Outlets,38.4
1992-05,Total,Food Caterers,na
1992-05,Total,Other Eating Places,64.9
1992-06,Total,Restaurants,53
1992-06,Total,Fast Food Outlets,39.3
1992-06,Total,Food Caterers,na
1992-06,Total,Other Eating Places,65.6
1992-07,Total,Restaurants,53.8
1992-07,Total,Fast Food Outlets,35.6
1992-07,Total,Food Caterers,na
1992-07,Total,Other Eating Places,66.6
1992-08,Total,Restaurants,55.1
1992-08,Total,Fast Food Outlets,37.1
1992-08,Total,Food Caterers,na
1992-08,Total,Other Eating Places,65.3
1992-09,Total,Restaurants,58.9
1992-09,Total,Fast Food Outlets,36.1
1992-09,Total,Food Caterers,na
1992-09,Total,Other Eating Places,65.5
1992-10,Total,Restaurants,57.6
1992-10,Total,Fast Food Outlets,37.2
1992-10,Total,Food Caterers,na
1992-10,Total,Other Eating Places,67.4
1992-11,Total,Restaurants,60.6
1992-11,Total,Fast Food Outlets,39.7
1992-11,Total,Food Caterers,na
1992-11,Total,Other Eating Places,64.6
1992-12,Total,Restaurants,64.5
1992-12,Total,Fast Food Outlets,43.1
1992-12,Total,Food Caterers,na
1992-12,Total,Other Eating Places,65.5
1993-01,Total,Restaurants,59.8
1993-01,Total,Fast Food Outlets,42.1
1993-01,Total,Food Caterers,na
1993-01,Total,Other Eating Places,66.8
1993-02,Total,Restaurants,54.9
1993-02,Total,Fast Food Outlets,35.1
1993-02,Total,Food Caterers,na
1993-02,Total,Other Eating Places,61.4
1993-03,Total,Restaurants,58.1
1993-03,Total,Fast Food Outlets,40.4
1993-03,Total,Food Caterers,na
1993-03,Total,Other Eating Places,68.1
1993-04,Total,Restaurants,52.9
1993-04,Total,Fast Food Outlets,37.5
1993-04,Total,Food Caterers,na
1993-04,Total,Other Eating Places,66.5
1993-05,Total,Restaurants,60.5
1993-05,Total,Fast Food Outlets,41.4
1993-05,Total,Food Caterers,na
1993-05,Total,Other Eating Places,68.9
1993-06,Total,Restaurants,59.1
1993-06,Total,Fast Food Outlets,44.8
1993-06,Total,Food Caterers,na
1993-06,Total,Other Eating Places,68.9
1993-07,Total,Restaurants,57.5
1993-07,Total,Fast Food Outlets,42.3
1993-07,Total,Food Caterers,na
1993-07,Total,Other Eating Places,70.7
1993-08,Total,Restaurants,57.9
1993-08,Total,Fast Food Outlets,46.2
1993-08,Total,Food Caterers,na
1993-08,Total,Other Eating Places,69.6
1993-09,Total,Restaurants,60.9
1993-09,Total,Fast Food Outlets,41
1993-09,Total,Food Caterers,na
1993-09,Total,Other Eating Places,67.4
1993-10,Total,Restaurants,64.5
1993-10,Total,Fast Food Outlets,42.3
1993-10,Total,Food Caterers,na
1993-10,Total,Other Eating Places,70.1
1993-11,Total,Restaurants,61.8
1993-11,Total,Fast Food Outlets,43.4
1993-11,Total,Food Caterers,na
1993-11,Total,Other Eating Places,71.4
1993-12,Total,Restaurants,73.2
1993-12,Total,Fast Food Outlets,49.5
1993-12,Total,Food Caterers,na
1993-12,Total,Other Eating Places,74.6
1994-01,Total,Restaurants,63.3
1994-01,Total,Fast Food Outlets,42.4
1994-01,Total,Food Caterers,na
1994-01,Total,Other Eating Places,70.2
1994-02,Total,Restaurants,64.1
1994-02,Total,Fast Food Outlets,43.6
1994-02,Total,Food Caterers,na
1994-02,Total,Other Eating Places,63.3
1994-03,Total,Restaurants,64.3
1994-03,Total,Fast Food Outlets,48.3
1994-03,Total,Food Caterers,na
1994-03,Total,Other Eating Places,72.7
1994-04,Total,Restaurants,59.6
1994-04,Total,Fast Food Outlets,44.6
1994-04,Total,Food Caterers,na
1994-04,Total,Other Eating Places,68.5
1994-05,Total,Restaurants,64
1994-05,Total,Fast Food Outlets,48.6
1994-05,Total,Food Caterers,na
1994-05,Total,Other Eating Places,69.2
1994-06,Total,Restaurants,57.8
1994-06,Total,Fast Food Outlets,47.8
1994-06,Total,Food Caterers,na
1994-06,Total,Other Eating Places,68.2
1994-07,Total,Restaurants,61.9
1994-07,Total,Fast Food Outlets,48.4
1994-07,Total,Food Caterers,na
1994-07,Total,Other Eating Places,71.3
1994-08,Total,Restaurants,59.9
1994-08,Total,Fast Food Outlets,46.9
1994-08,Total,Food Caterers,na
1994-08,Total,Other Eating Places,68.2
1994-09,Total,Restaurants,69.8
1994-09,Total,Fast Food Outlets,45.6
1994-09,Total,Food Caterers,na
1994-09,Total,Other Eating Places,67.6
1994-10,Total,Restaurants,65.7
1994-10,Total,Fast Food Outlets,48.5
1994-10,Total,Food Caterers,na
1994-10,Total,Other Eating Places,70
1994-11,Total,Restaurants,68.6
1994-11,Total,Fast Food Outlets,50.1
1994-11,Total,Food Caterers,na
1994-11,Total,Other Eating Places,70.8
1994-12,Total,Restaurants,75.4
1994-12,Total,Fast Food Outlets,54.8
1994-12,Total,Food Caterers,na
1994-12,Total,Other Eating Places,75.9
1995-01,Total,Restaurants,65.6
1995-01,Total,Fast Food Outlets,49.4
1995-01,Total,Food Caterers,na
1995-01,Total,Other Eating Places,71.5
1995-02,Total,Restaurants,63
1995-02,Total,Fast Food Outlets,43.5
1995-02,Total,Food Caterers,na
1995-02,Total,Other Eating Places,65
1995-03,Total,Restaurants,67.7
1995-03,Total,Fast Food Outlets,50.5
1995-03,Total,Food Caterers,na
1995-03,Total,Other Eating Places,71.7
1995-04,Total,Restaurants,59.7
1995-04,Total,Fast Food Outlets,50.3
1995-04,Total,Food Caterers,na
1995-04,Total,Other Eating Places,70.3
1995-05,Total,Restaurants,67.6
1995-05,Total,Fast Food Outlets,52.3
1995-05,Total,Food Caterers,na
1995-05,Total,Other Eating Places,72.6
1995-06,Total,Restaurants,64.8
1995-06,Total,Fast Food Outlets,52.4
1995-06,Total,Food Caterers,na
1995-06,Total,Other Eating Places,71.6
1995-07,Total,Restaurants,65.1
1995-07,Total,Fast Food Outlets,54
1995-07,Total,Food Caterers,na
1995-07,Total,Other Eating Places,74.3
1995-08,Total,Restaurants,63.8
1995-08,Total,Fast Food Outlets,53.1
1995-08,Total,Food Caterers,na
1995-08,Total,Other Eating Places,72.9
1995-09,Total,Restaurants,72.4
1995-09,Total,Fast Food Outlets,51.9
1995-09,Total,Food Caterers,na
1995-09,Total,Other Eating Places,71.1
1995-10,Total,Restaurants,68.4
1995-10,Total,Fast Food Outlets,53
1995-10,Total,Food Caterers,na
1995-10,Total,Other Eating Places,72.4
1995-11,Total,Restaurants,72.5
1995-11,Total,Fast Food Outlets,53.7
1995-11,Total,Food Caterers,na
1995-11,Total,Other Eating Places,73.7
1995-12,Total,Restaurants,82.5
1995-12,Total,Fast Food Outlets,61.8
1995-12,Total,Food Caterers,na
1995-12,Total,Other Eating Places,79.9
1996-01,Total,Restaurants,67.6
1996-01,Total,Fast Food Outlets,49.8
1996-01,Total,Food Caterers,na
1996-01,Total,Other Eating Places,73.2
1996-02,Total,Restaurants,69.8
1996-02,Total,Fast Food Outlets,52.3
1996-02,Total,Food Caterers,na
1996-02,Total,Other Eating Places,70.8
1996-03,Total,Restaurants,72.5
1996-03,Total,Fast Food Outlets,54.4
1996-03,Total,Food Caterers,na
1996-03,Total,Other Eating Places,75.5
1996-04,Total,Restaurants,63.8
1996-04,Total,Fast Food Outlets,52.1
1996-04,Total,Food Caterers,na
1996-04,Total,Other Eating Places,73.6
1996-05,Total,Restaurants,67.3
1996-05,Total,Fast Food Outlets,56.9
1996-05,Total,Food Caterers,na
1996-05,Total,Other Eating Places,76.2
1996-06,Total,Restaurants,68.6
1996-06,Total,Fast Food Outlets,57
1996-06,Total,Food Caterers,na
1996-06,Total,Other Eating Places,76.8
1996-07,Total,Restaurants,65.3
1996-07,Total,Fast Food Outlets,55
1996-07,Total,Food Caterers,na
1996-07,Total,Other Eating Places,76.2
1996-08,Total,Restaurants,64.2
1996-08,Total,Fast Food Outlets,56.6
1996-08,Total,Food Caterers,na
1996-08,Total,Other Eating Places,77.1
1996-09,Total,Restaurants,69.5
1996-09,Total,Fast Food Outlets,55.8
1996-09,Total,Food Caterers,na
1996-09,Total,Other Eating Places,74.8
1996-10,Total,Restaurants,69.4
1996-10,Total,Fast Food Outlets,56.6
1996-10,Total,Food Caterers,na
1996-10,Total,Other Eating Places,77.3
1996-11,Total,Restaurants,75.3
1996-11,Total,Fast Food Outlets,60.2
1996-11,Total,Food Caterers,na
